date,experiment,library,antibody,concentration,sort_bin,selection,sample,experiment_type,number_cells,frac_escape,R1
220422,exptREF,lib22,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/BA1_lib1_ref1_S54_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/BA1_lib1_ref2_S55_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/BA1_lib1_ref13_S56_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/BA1_lib1_ref4_S57_R1_001.fastq.gz
220422,exptREF,lib23,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/BA1_lib2_ref1_S58_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/BA1_lib2_ref2_S59_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/BA1_lib2_ref3_S60_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/BA1_lib2_ref4_S61_R1_001.fastq.gz
220422,expt19,lib22,ADI-75733,249,abneg,escape,expt19-ADI-75733-249-abneg,ab_selection,1077322,0.281,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/expt19_lib1_S38_R1_001.fastq.gz
220422,expt19,lib23,ADI-75733,249,abneg,escape,expt19-ADI-75733-249-abneg,ab_selection,1066348,0.266,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/expt19_lib2_S39_R1_001.fastq.gz
220422,expt20,lib22,ADI-75732,135,abneg,escape,expt20-ADI-75732-135-abneg,ab_selection,1262298,0.319,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/expt20_lib1_S40_R1_001.fastq.gz
220422,expt20,lib23,ADI-75732,135,abneg,escape,expt20-ADI-75732-135-abneg,ab_selection,1281059,0.316,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/expt20_lib2_S41_R1_001.fastq.gz
220422,expt21,lib22,ADI-75739,94,abneg,escape,expt21-ADI-75739-94-abneg,ab_selection,617763,0.162,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/expt21_lib1_S42_R1_001.fastq.gz
220422,expt21,lib23,ADI-75739,94,abneg,escape,expt21-ADI-75739-94-abneg,ab_selection,604623,0.157,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/expt21_lib2_S43_R1_001.fastq.gz
220422,expt22,lib22,ADI-75807,139,abneg,escape,expt22-ADI-75807-139-abneg,ab_selection,704412,0.19,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/expt22_lib1_S44_R1_001.fastq.gz
220422,expt22,lib23,ADI-75807,139,abneg,escape,expt22-ADI-75807-139-abneg,ab_selection,700667,0.173,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/expt22_lib2_S45_R1_001.fastq.gz
220422,expt23,lib22,ADI-75586,64,abneg,escape,expt23-ADI-75586-64-abneg,ab_selection,912151,0.236,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/expt23_lib1_S46_R1_001.fastq.gz
220422,expt23,lib23,ADI-75586,64,abneg,escape,expt23-ADI-75586-64-abneg,ab_selection,843795,0.215,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/expt23_lib2_S47_R1_001.fastq.gz
220422,expt24,lib22,ADI-75850,123,abneg,escape,expt24-ADI-75850-123-abneg,ab_selection,895171,0.223,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/expt24_lib1_S48_R1_001.fastq.gz
220422,expt24,lib23,ADI-75850,123,abneg,escape,expt24-ADI-75850-123-abneg,ab_selection,903517,0.228,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/expt24_lib2_S49_R1_001.fastq.gz
